,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
ethyl benzoate,1e-05,1e-05,0.00021423320921828588,0.07984394182706234,1e-05,0.00047968784924320074,1e-05,1e-05,1e-05,1e-05,1e-05,0.0001682791329477948,1e-05,1e-05,1e-05,1e-05,0.0066035456927373655,1e-05,1e-05,1e-05,3.9563737064795435e-05,0.0001713373914144983,1e-05,0.16623726654193274
phenethyl acetate,1.3492017774808234e-05,1e-05,0.00012071389136115335,1e-05,1e-05,0.00034478561489610405,1e-05,1e-05,1e-05,1e-05,1e-05,0.00015262815506724117,1e-05,1e-05,0.0002771222591195098,7.881089908263314e-05,0.005080229036356966,1e-05,8.991207340042926e-05,1e-05,0.0001682791329477948,4.1382099989292634e-05,1e-05,0.00013034310119274618
benzaldehyde,1e-05,0.0069145663967147,0.0005455145329350207,0.001868972462246415,1e-05,0.0002771222591195098,1e-05,1e-05,0.0009117876620046461,0.0002771222591195098,4.1382099989292634e-05,0.00012575058585997132,1e-05,0.0013266465278371357,1e-05,1e-05,0.0069145663967147,2.3072651745431616e-05,1e-05,1e-05,0.00027891120829320247,0.0005013235643524215,1e-05,0.0002012783359190799
phenylacetaldehyde,1.2230964782912933e-05,0.0003427599932777004,7.046578740999141e-05,0.0006182433072358797,1e-05,0.0003931891371486663,1e-05,1e-05,1e-05,1e-05,1.0341465315171297e-05,0.00018522999836385767,1e-05,0.0008738428055693936,1e-05,1e-05,0.0029998943135286942,0.0001354293828773966,1e-05,1.0341465315171297e-05,0.0002973966164065116,0.00017087678166399878,1e-05,0.0001618314827427658
acetophenone,1e-05,1.0341465315171297e-05,0.0006321780467797068,0.03167768188975399,1e-05,0.0002771222591195098,1e-05,1e-05,1.0341465315171297e-05,0.00027891120829320247,2.4397692866646402e-05,0.0002885279439838414,1e-05,0.0008738428055693936,1e-05,3.131537390947473e-05,0.00502112596749073,0.00033921348330333273,1e-05,1e-05,0.00012119483662401179,0.0011038924008820576,1e-05,0.0001859478527171598
ethyl cinnamate,1e-05,1e-05,1e-05,1e-05,1e-05,6.0581530345382e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0007832777281161137,1e-05,1e-05,1e-05,0.00026392829641957565,1e-05,1e-05,1e-05
2-methylphenol,1e-05,1e-05,0.0002885279439838414,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,0.0008125579276115804,0.00028698059473633163,1e-05,1e-05,0.026563817066620032,1e-05,1e-05,0.0005316467921359044,1e-05,1e-05,1e-05,0.0001618314827427658,0.0002809723367106274,1e-05,1e-05
4-ethyl guaiacol,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00027891120829320247,1e-05,1e-05,0.0002885279439838414,0.00012071389136115335,1e-05,1e-05
eugenol,1e-05,1e-05,3.7910761962038456e-05,0.0006182433072358797,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,1e-05,0.00012575058585997132,1e-05,1e-05,1e-05,1e-05,1e-05,0.0002471034972826896,8.68558273476034e-05,1e-05,0.0004254778321590801
methanol,1.1856548120482378e-05,0.00012119483662401179,0.00016229958887896406,1e-05,1e-05,0.0005391774640387721,1e-05,0.00026392829641957565,0.0002696753492194427,1e-05,6.0581530345382e-05,4.929952779764013e-05,1e-05,1e-05,9.834532259575764e-05,1e-05,1e-05,0.00016136337660656753,1e-05,3.9563737064795435e-05,7.23764760611525e-05,3.3482204649053084e-05,1e-05,1e-05
ethanol,1e-05,0.00021940879358907584,0.00013034310119274618,2.6729133767805675e-05,1e-05,0.0005391774640387721,1e-05,0.0002771222591195098,0.0002471034972826896,1e-05,5.287896297373533e-05,1.2230964782912933e-05,1e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,0.00021423320921828588,5.7420557919406254e-05,6.170109591827987e-05,0.0001618314827427658,1e-05,1e-05,1e-05
1-propanol,0.00021940879358907584,0.004660595727937661,0.0004965337997401578,1e-05,1.0341465315171297e-05,0.000590204338650065,1e-05,0.0001618314827427658,0.0004965337997401578,1e-05,0.00026392829641957565,6.170109591827987e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,6.0581530345382e-05,0.000494621914749099,7.881089908263314e-05,1e-05,0.0003912494132485912,0.00019608818313086358,1e-05,1e-05
1-butanol,0.0003476929055633268,0.006194893440864384,0.0013756923743903308,1e-05,0.0003955003178169639,0.0019222173635429884,0.00033921348330333273,0.0002973966164065116,0.006897467969361234,1e-05,0.0007832777281161137,0.00015262815506724117,1e-05,0.00016136337660656753,0.00038719593995605294,1e-05,0.0006321780467797068,0.0008710133139837591,0.0002809723367106274,1e-05,0.00034478561489610405,0.000273373199155969,1e-05,1e-05
1-pentanol,0.00026392829641957565,0.0037260152571506255,0.003548973505344111,1.951383929965917e-05,0.000942360163608824,0.004974836046556787,0.0007383923380959124,0.0003410707980068767,0.005537994128889365,0.0008125579276115804,0.0015575767033153172,0.0006045093005271161,1e-05,0.00034478561489610405,0.0005316467921359044,1e-05,0.002801517593180803,0.002145865203987751,0.0004965337997401578,0.0003912494132485912,0.003904456308998079,0.0006143020081524827,1e-05,0.0007832777281161137
1-hexanol,0.0002893016186075963,0.0011415955614726217,0.00136100310584838,1.2230964782912933e-05,0.002680068962470506,0.0006891728192926377,0.00046039806501870997,1e-05,0.017338693885323966,0.002211058603457309,0.0007832777281161137,0.0005391774640387721,1e-05,0.00020284463258896283,0.00026847204047708616,1e-05,0.0042234500350478085,0.001622750686450622,0.0005346726315720581,0.0023054166067988636,0.004974836046556787,0.0007291470438403898,6.0581530345382e-05,0.003378112494377437
1-octanol,1e-05,1e-05,0.00012575058585997132,1e-05,0.0011069960506331627,0.0005316467921359044,1e-05,1e-05,0.011175622460037551,1e-05,0.0002012783359190799,1e-05,1e-05,1e-05,1e-05,1e-05,0.00034478561489610405,6.170109591827987e-05,0.0002565491223555328,1e-05,0.0005093071595041658,7.046578740999141e-05,1e-05,0.00013034310119274618
2-pentanol,0.00029639827593032407,0.000787998469880759,0.01341109124620658,7.046578740999141e-05,0.0007817041475278987,0.001636700811363095,0.0003163199342274845,0.0003749294500662229,0.0034421998987733964,0.0011415955614726217,0.003988812394339217,0.0008710133139837591,1e-05,0.00021423320921828588,0.00029939329735888666,1e-05,0.00021940879358907584,0.00133771471130811,0.0005712272526207782,0.00035371319253736574,0.0026222300679931633,0.0006321780467797068,1e-05,0.0008829417974956467
3-methylbutanol,0.00018666570707046192,0.0032690450886139724,0.001287389684583051,1e-05,0.0008710133139837591,0.0014582995662797732,0.00023502431014030563,0.00023502431014030563,0.011995734472406813,0.000494621914749099,0.0004513669846735933,0.00014447508939295856,1e-05,9.834532259575764e-05,0.00017087678166399878,1e-05,0.0006624205017856108,0.0009868187383483458,0.0005141092617870113,1e-05,0.00013034310119274618,0.0003931891371486663,1e-05,3.9563737064795435e-05
3-methyl-2-buten-1-ol,0.0002771222591195098,0.006473961732387723,0.000590204338650065,1e-05,0.0005346726315720581,0.00136100310584838,0.00015262815506724117,0.00033921348330333273,0.004520435111563949,0.00018666570707046192,0.0004965337997401578,0.00010176880730846474,1e-05,0.00026392829641957565,0.0001713373914144983,1e-05,0.009492472000354241,0.0012918523681110057,0.0003410707980068767,2.0479339060820288e-05,0.00015262815506724117,0.00034478561489610405,1e-05,0.006354142769132256
1-penten-3-ol,0.00023776152789759013,0.0019222173635429884,0.008921063574042406,1e-05,0.0006182433072358797,0.0005748290050475285,0.00019608818313086358,0.00034478561489610405,0.00027891120829320247,0.0005346726315720581,0.00136100310584838,0.0003148571832437103,1e-05,0.00021423320921828588,0.00029939329735888666,1e-05,1e-05,0.001622750686450622,0.00035371319253736574,0.00010176880730846474,0.00010225656024699785,0.0003912494132485912,1e-05,1e-05
1-octen-3-ol,0.0001618314827427658,1e-05,0.0005316467921359044,1e-05,0.002841474231400911,0.0019392870650751049,8.991207340042926e-05,1e-05,0.002506888304910239,0.001287389684583051,0.000377100849374638,0.0011038924008820576,1e-05,5.287896297373533e-05,6.170109591827987e-05,6.0581530345382e-05,0.0036964325176431813,0.00018666570707046192,0.0002471034972826896,0.0003148571832437103,0.004660595727937661,0.0002809723367106274,1e-05,0.006542587913838395
E2-hexenol,0.0002565491223555328,0.004660595727937661,0.001569682468900356,1e-05,0.0008738428055693936,0.0011038924008820576,0.00033921348330333273,0.00012071389136115335,0.011412451485114394,0.00021423320921828588,0.0011038924008820576,0.00022202420641754086,1e-05,0.0003085954973011161,0.00012119483662401179,1e-05,0.001487524827997328,0.002801517593180803,5.7420557919406254e-05,0.0006682559278855031,0.0327302566154745,0.0007094766117471552,1e-05,0.009429978292483179
Z2-hexenol,0.0002471034972826896,0.0029014977705386458,0.0011038924008820576,1e-05,0.0009478457498442892,0.001622750686450622,0.0005273430141179117,0.00012071389136115335,0.007249333032016205,0.0008026392695073001,0.0045009003087839936,0.00019067969264967055,1e-05,9.834532259575764e-05,0.0001792336640077712,1e-05,0.00136100310584838,0.00136100310584838,0.00027891120829320247,1e-05,0.002841474231400911,0.0005316467921359044,1e-05,0.0011069960506331627
E3-hexenol,0.0003749294500662229,0.003333953166656774,0.00720871503377465,3.182496761771865e-05,0.0007817041475278987,0.000978760117058385,0.0003148571832437103,0.0001891768993323146,0.008979816483994532,0.00034478561489610405,0.0005316467921359044,0.0001717980011649978,1e-05,0.0001859478527171598,0.0002471034972826896,1e-05,0.003412988079987095,0.0014320096954077435,0.00022347291795860312,0.002841474231400911,0.019522138008788513,0.0008710133139837591,1e-05,0.0023054166067988636
Z3-hexenol,0.00019608818313086358,0.002868462554494586,0.0033641285739571046,1e-05,0.000942360163608824,0.0009478457498442892,0.00025954759839540294,0.0002012783359190799,0.0073432966247975184,0.001274027117724995,0.0008971524626623927,0.0004927100297580402,1e-05,0.00027891120829320247,0.00034478561489610405,1e-05,0.0016318142811498236,0.001636700811363095,0.0002471034972826896,0.0009553255550341308,0.006428768218035454,0.000590204338650065,1e-05,0.00231810143233394
glycerol,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"2,3-butanediol",1e-05,1e-05,0.026563817066620032,1e-05,1e-05,0.000494621914749099,1e-05,0.0002771222591195098,1e-05,1e-05,0.0015636295861078367,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,3.7910761962038456e-05,0.00033921348330333273,0.0001426571550392635,4.092265441750683e-05,6.0581530345382e-05,6.0581530345382e-05,1e-05,1e-05
methyl acetate,1e-05,1e-05,0.0001618314827427658,1e-05,1e-05,0.0005346726315720581,1e-05,5.287896297373533e-05,1e-05,1e-05,0.00013034310119274618,0.00016136337660656753,1e-05,1e-05,0.11236121896935108,1e-05,1e-05,3.7910761962038456e-05,5.287896297373533e-05,1e-05,0.0001859478527171598,8.68558273476034e-05,4.1382099989292634e-05,1e-05
ethyl acetate,1e-05,1e-05,0.0002893016186075963,1e-05,1e-05,0.0005316467921359044,1e-05,1.0341465315171297e-05,8.607698236551465e-05,1e-05,0.002227085540369208,0.0009553255550341308,1e-05,5.287896297373533e-05,0.004592209357123975,1e-05,0.0003427599932777004,0.0002565491223555328,6.170109591827987e-05,0.0006321780467797068,8.607698236551465e-05,8.68558273476034e-05,1e-05,0.00012575058585997132
propyl acetate,0.00020284463258896283,1e-05,0.0036964325176431813,0.0006624205017856108,1e-05,0.006948763251421633,2.3072651745431616e-05,3.7910761962038456e-05,0.0013303359223274603,2.3072651745431616e-05,0.004520435111563949,0.009648088489895183,1e-05,2.0479339060820288e-05,0.0006682559278855031,1e-05,0.0007832777281161137,0.0006779368742348263,5.287896297373533e-05,1e-05,0.003638578515240294,0.0004965337997401578,1.7989464059794254e-05,0.0030113017564338397
butyl acetate,0.00043912128052129266,1e-05,0.003120159114931399,0.001973373052690868,0.00020284463258896283,0.009700334048185114,0.0001859478527171598,2.060367444034779e-05,0.0006143020081524827,0.00010176880730846474,0.0024081817183733427,0.007978010985955547,1e-05,8.991207340042926e-05,0.0004589246100710602,0.00012575058585997132,0.0036964325176431813,0.00046039806501870997,0.0002771222591195098,1e-05,0.025908871188826076,0.0006143020081524827,1e-05,0.013014836742700785
pentyl acetate,0.0002565491223555328,1e-05,0.001019597488314809,1e-05,0.0020811877617292625,0.0034421998987733964,0.00010176880730846474,1e-05,0.005653014043900565,2.6729133767805675e-05,0.0011038924008820576,0.019601994640295634,1e-05,1e-05,0.0006624205017856108,0.00022347291795860312,0.009700334048185114,0.00012575058585997132,0.0001118293391592037,0.0002012783359190799,0.005631467626200976,0.00031961311744836484,1e-05,0.005653014043900565
hexyl acetate,0.0001717980011649978,1e-05,0.0003912494132485912,1e-05,0.0004254778321590801,0.004520435111563949,1e-05,2.0479339060820288e-05,0.007978010985955547,1e-05,7.508741614385087e-05,0.007249333032016205,1e-05,1e-05,0.0003085954973011161,0.00030970255688328734,0.0004254778321590801,1e-05,0.00013034310119274618,1e-05,0.0002471034972826896,1e-05,1e-05,0.0008710133139837591
isobutyl acetate,0.00020284463258896283,0.0002696753492194427,0.0045009003087839936,0.008653807167883847,0.0003931891371486663,0.0336669917780707,1e-05,5.287896297373533e-05,0.00017041617191349928,0.00015262815506724117,0.004592209357123975,0.00502112596749073,1e-05,1e-05,0.000377100849374638,1e-05,0.00020284463258896283,0.0008342947977269695,0.0001859478527171598,1e-05,0.002211058603457309,0.00038719593995605294,1e-05,0.008381131948946461
isopentyl acetate,0.0006321780467797068,1e-05,0.0025183126199411995,0.008086683018268636,0.0008829417974956467,0.016410749118656164,0.0001118293391592037,1e-05,0.00012119483662401179,7.046578740999141e-05,0.0012258961583518665,0.001868972462246415,1e-05,2.0479339060820288e-05,0.0003931891371486663,1.0755968495323413e-05,0.002046757819042004,0.000494621914749099,0.0002973966164065116,1e-05,0.013556600111142906,0.0002471034972826896,1e-05,0.025126955230259772
E2-hexenyl acetate,0.00011414286579957463,0.0073432966247975184,0.00021940879358907584,1e-05,0.00027891120829320247,0.0066035456927373655,1e-05,3.7910761962038456e-05,0.013014836742700785,1e-05,1e-05,0.0005455145329350207,1e-05,1e-05,0.0003912494132485912,0.0002862069201125767,0.0007383923380959124,8.607698236551465e-05,0.00016229958887896406,1e-05,0.0003912494132485912,8.607698236551465e-05,1e-05,0.007289951030253991
methyl butyrate,0.00014447508939295856,1e-05,0.0026389346974723935,0.0003427599932777004,1e-05,0.012105679757438051,1e-05,8.991207340042926e-05,0.0013303359223274603,1.2230964782912933e-05,0.004520435111563949,0.002841474231400911,1e-05,9.834532259575764e-05,0.00231810143233394,1e-05,0.001622750686450622,0.0008829417974956467,0.00015262815506724117,1e-05,0.0008710133139837591,0.00027891120829320247,1e-05,0.0006779368742348263
ethyl butyrate,2.4397692866646402e-05,1e-05,0.0019222173635429884,0.0001717980011649978,0.0007801305669396835,0.006542587913838395,4.9871758087295355e-05,0.00026847204047708616,0.0018393546448585063,0.00012119483662401179,0.00720871503377465,0.0007832777281161137,1e-05,1e-05,0.0003085954973011161,1e-05,0.0037445469897090617,0.0016992287587377644,0.0001618314827427658,0.0019392870650751049,0.0013303359223274603,0.00023502431014030563,1e-05,0.0008829417974956467
hexyl butyrate,1e-05,1e-05,1e-05,1e-05,1e-05,0.0003427599932777004,1e-05,1e-05,0.01232538961424843,1e-05,1e-05,7.508741614385087e-05,1e-05,1e-05,1e-05,1e-05,0.0005748290050475285,2.6729133767805675e-05,1.2230964782912933e-05,0.0002893016186075963,0.001183878567773842,1e-05,1e-05,0.0001682791329477948
ethyl 3-hydroxybutyrate,0.0004927100297580402,1e-05,0.008032913179064443,0.0007044151663977887,0.00018992829599099258,0.0025705542642250113,0.00022347291795860312,1e-05,0.0009868187383483458,0.0002565491223555328,0.002801517593180803,0.0008125579276115804,1e-05,0.0003410707980068767,0.00026847204047708616,0.0002885279439838414,0.0011415955614726217,0.0011341909539571075,1e-05,0.008573273482410078,0.016084387910824234,0.0008342947977269695,1e-05,0.005537994128889365
ethyl propionate,0.00012071389136115335,0.0009478457498442892,0.0005730281288341534,0.00029639827593032407,1e-05,0.0061415631242763445,1e-05,0.0008829417974956467,1e-05,1e-05,0.003988812394339217,0.0005093071595041658,1e-05,1e-05,0.0013266465278371357,1e-05,2.0479339060820288e-05,0.00047968784924320074,8.607698236551465e-05,0.00034478561489610405,0.0005316467921359044,0.00021940879358907584,1e-05,0.0003085954973011161
ethyl methanoate,1e-05,0.0014582995662797732,0.0001618314827427658,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,0.0001859478527171598,1e-05,1e-05,1e-05,1e-05,1e-05,0.00012119483662401179,5.287896297373533e-05,1e-05,6.0581530345382e-05
methyl hexanoate,0.0003055815964459368,0.0003074884377189448,0.0005013235643524215,7.23764760611525e-05,0.00025954759839540294,0.04514459739636522,1e-05,1e-05,1e-05,1e-05,0.0005455145329350207,0.008613540325146963,1e-05,3.131537390947473e-05,1e-05,8.991207340042926e-05,0.0009868187383483458,0.0001618314827427658,7.943681914895371e-05,1e-05,0.013321314258844615,0.0002893016186075963,1e-05,0.005537994128889365
ethyl hexanoate,0.00012119483662401179,1e-05,0.00012575058585997132,1e-05,0.0003410707980068767,0.013321314258844615,2.8842142958349317e-05,1e-05,1e-05,1e-05,1e-05,0.002477364109563531,1e-05,1e-05,1e-05,1e-05,0.0025829436020628205,1e-05,1.0341465315171297e-05,1e-05,0.0010277347414959389,6.487920268739199e-05,1e-05,0.0004965337997401578
hexyl hexanoate,1e-05,1e-05,1e-05,1e-05,1e-05,0.00026392829641957565,1e-05,1e-05,0.0019468457649735786,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,6.170109591827987e-05,6.0581530345382e-05,1e-05,1e-05
methyl octanoate,1e-05,1e-05,1e-05,1e-05,1e-05,0.01864868457712765,1e-05,1e-05,1.0341465315171297e-05,1e-05,1e-05,0.0005391774640387721,1e-05,1e-05,1e-05,0.00012119483662401179,1e-05,1e-05,6.0581530345382e-05,1e-05,0.0005748290050475285,1e-05,1e-05,0.00012575058585997132
ethyl octanoate,1e-05,1e-05,1e-05,1e-05,1e-05,0.0012829270010550962,1e-05,1e-05,1e-05,1e-05,1e-05,8.991207340042926e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0002885279439838414,1e-05,1e-05,0.00012119483662401179
ethyl decanoate,1e-05,1e-05,1e-05,0.0003427599932777004,1e-05,1.0341465315171297e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0001682791329477948,1e-05,1e-05,3.131537390947473e-05
ethyl trans-2-butenoate,3.0997643115535796e-05,1e-05,0.0013756923743903308,0.002680068962470506,1e-05,0.009429978292483179,1e-05,1e-05,3.9563737064795435e-05,1e-05,0.006159339896472358,0.00036703026293759917,1e-05,1e-05,1e-05,1e-05,0.00133771471130811,0.0002983949568826991,6.0581530345382e-05,0.0011038924008820576,0.0008780123005654055,0.00020284463258896283,1e-05,0.0205256128688469
ethyl lactate,0.0002885279439838414,0.00020284463258896283,0.0008261887409474909,0.00020284463258896283,0.0001426571550392635,0.0007817041475278987,1.7989464059794254e-05,1e-05,1e-05,1e-05,0.0011341909539571075,0.00018992829599099258,1e-05,0.0002471034972826896,0.0022445570349920695,0.00020284463258896283,0.0002885279439838414,1.0,0.0003410707980068767,0.0003055815964459368,0.0008125579276115804,0.000942360163608824,1e-05,0.000639455621401708
diethyl succinate,5.7420557919406254e-05,1e-05,0.00013034310119274618,1e-05,0.00013034310119274618,0.008160276311847573,0.00016136337660656753,1e-05,1e-05,1e-05,1e-05,0.00027891120829320247,1e-05,1e-05,1e-05,1e-05,0.004391398312090175,3.7910761962038456e-05,0.00022202420641754086,1e-05,0.00026392829641957565,8.68558273476034e-05,1e-05,1e-05
